X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,email,date_updated,dis_status,POINT_X,POINT_Y
-118.390239255712743,33.919081967197407,96621924,HSIP Freedom CorporateHeadquarters,,Private Industry,Corporate Headquarters,,US Geological Survey (USGS),Computer Sciences,2100 East Grand Avenue,,El Segundo,CA,,(310) 615-0311,,,,12972,,90245,http://egis3.lacounty.gov/lms/?p=12972,publish,33.919082,-118.3902392,,2010-11-01T19:50:56.000Z,,6443274.29705806,1793162.37326956
-118.601013356091102,34.178683666435219,96621925,HSIP Freedom CorporateHeadquarters,,Private Industry,Corporate Headquarters,,US Geological Survey (USGS),Health Net Incorporated,21650 Oxnard Street,,Woodland Hills,CA,,(818) 676-6000,,,,12973,,91367,http://egis3.lacounty.gov/lms/?p=12973,publish,34.1786837,-118.6010133,,2010-11-01T19:50:56.000Z,,6379892.30932097,1887950.19419223
-118.804875555011762,34.152905866658571,96621926,HSIP Freedom CorporateHeadquarters,,Private Industry,Corporate Headquarters,,US Geological Survey (USGS),"Dole Food Company, Incorporated",1 Dole Drive,,Westlake Village,CA,,(818) 879-6600,,,,12974,,91362,http://egis3.lacounty.gov/lms/?p=12974,publish,34.1529059,-118.8048755,,2010-11-01T19:50:56.000Z,,6318159.69820638,1879000.67829864
-118.447132055881951,34.057490767145445,96621927,HSIP Freedom CorporateHeadquarters,,Private Industry,Corporate Headquarters,,US Geological Survey (USGS),Kb Home Corporate Office,10990 Wilshire Boulevard,,Los Angeles,CA,,(310) 231-4000,,,,12975,,90024,http://egis3.lacounty.gov/lms/?p=12975,publish,34.0574908,-118.447132,,2010-11-01T19:50:56.000Z,,6426237.5565253,1843603.62343673
-118.080739556659253,34.053489466707369,96621928,HSIP Freedom CorporateHeadquarters,,Private Industry,Corporate Headquarters,,US Geological Survey (USGS),Edison International,2244 Walnut Grove Avenue,,Rosemead,CA,,(626) 302-1212,,,,12976,,91770,http://egis3.lacounty.gov/lms/?p=12976,publish,34.0534895,-118.0807395,,2010-11-01T19:50:56.000Z,,6537213.72039931,1841856.07542264
-118.414657955752233,34.062187367162366,96621929,HSIP Freedom CorporateHeadquarters,,Private Industry,Corporate Headquarters,,US Geological Survey (USGS),Northrop Grumman Corporation,1840 Century Park East,,Los Angeles,CA,,(310) 553-6262,,,,12977,,90067,http://egis3.lacounty.gov/lms/?p=12977,publish,34.0621874,-118.4146579,,2010-11-01T19:50:56.000Z,,6436080.69924055,1845270.62732056
-118.39811315630827,34.074623366295086,96621930,HSIP Freedom CorporateHeadquarters,,Private Industry,Corporate Headquarters,,US Geological Survey (USGS),Hilton Hotels,9336 Civic Center Drive,,Beverly Hills,CA,,(310) 278-4321,,,,12978,,90210,http://egis3.lacounty.gov/lms/?p=12978,publish,34.0746234,-118.3981131,,2010-11-01T19:50:56.000Z,,6441109.60781789,1849776.03136748
-118.161297656225031,34.148448166927707,96621931,HSIP Freedom CorporateHeadquarters,,Private Industry,Corporate Headquarters,,US Geological Survey (USGS),Avery Dennison,150 North Orange Grove Boulevard,,Pasadena,CA,,(626) 304-2000,,,,12979,,91103,http://egis3.lacounty.gov/lms/?p=12979,publish,34.1484482,-118.1612976,,2010-11-01T19:50:56.000Z,,6512867.5269658,1876442.66143306
-118.443495955693336,34.059217966381027,96621932,HSIP Freedom CorporateHeadquarters,,Private Industry,Corporate Headquarters,,US Geological Survey (USGS),Occidental Petroleum Corporation,10889 Wilshire Boulevard,,Los Angeles,CA,,(310) 208-8800,,,,12980,,90024,http://egis3.lacounty.gov/lms/?p=12980,publish,34.059218,-118.4434959,,2010-11-01T19:50:56.000Z,,6427341.66881838,1844227.29935473
-118.32660605671299,34.155831966984373,96621933,HSIP Freedom CorporateHeadquarters,,Private Industry,Corporate Headquarters,,US Geological Survey (USGS),The Walt Disney Company,500 South Buena Vista Street,,Burbank,CA,,(818) 560-1000,,,,12981,,91521,http://egis3.lacounty.gov/lms/?p=12981,publish,34.155832,-118.326606,,2010-11-01T19:50:56.000Z,,6462860.06661347,1879251.13252215
